#r11	r12	r13	r21	r22	r23	r31	r32	r33	tx	ty	tz
0.00143466	-0.118869	-0.992909	-0.860223	-0.506447	0.0593877	-0.509915	0.854038	-0.10298	-72.0247	-59.0126	515.494
-0.00273495	-0.0719159	-0.997407	-0.884759	-0.464661	0.0359295	-0.46604	0.882563	-0.0623574	-70.2978	-65.0177	502.177
0.00313805	0.0224598	-0.999743	-0.927373	-0.373967	-0.0113123	-0.374125	0.92717	0.0196551	-75.3155	-70.7954	493.702
0.0221495	0.115454	-0.993066	-0.944708	-0.322639	-0.0585809	-0.327165	0.939454	0.101924	-80.064	-82.4293	482.96
0.0392837	0.160119	-0.986316	-0.959333	-0.270088	-0.0820553	-0.279531	0.949428	0.142997	-77.4877	-88.1114	476.686
0.0713622	0.199635	-0.977268	-0.980602	-0.165278	-0.105369	-0.182557	0.965831	0.183968	-64.8655	-98.1124	471.196
0.0996057	0.238925	-0.965916	-0.985783	-0.108322	-0.128449	-0.13532	0.964977	0.224739	-62.1156	-102.661	469.075
0.131959	0.275305	-0.952257	-0.987241	-0.0498645	-0.151224	-0.0891165	0.960063	0.265212	-50.1129	-110.318	462.419
0.16815	0.308337	-0.936298	-0.984764	0.00981656	-0.173622	-0.0443427	0.951227	0.30529	-38.6842	-117.651	461.255
0.22532	0.326212	-0.918051	-0.973103	0.121747	-0.195571	0.0479721	0.937424	0.34487	-36.6321	-123.996	456.821
0.269435	0.34905	-0.897535	-0.959003	0.182274	-0.217001	0.0878527	0.919206	0.383851	-35.3789	-127.493	457.447
0.364465	0.380562	-0.849905	-0.917778	0.301294	-0.258661	0.157635	0.874297	0.459082	-33.3615	-132.381	461.9
0.434606	0.366049	-0.822877	-0.869838	0.407441	-0.278162	0.233454	0.83666	0.495479	-32.549	-134.758	461.179
0.485628	0.366253	-0.793741	-0.834852	0.463551	-0.296887	0.259204	0.806833	0.53088	-26.8553	-137.035	462.867
0.536814	0.361038	-0.76255	-0.795439	0.517874	-0.314773	0.28126	0.775537	0.565186	-27.3291	-138.836	465.092
0.618082	0.368545	-0.694369	-0.737107	0.578696	-0.348975	0.273216	0.72752	0.629339	-33.8521	-141.709	471.949
0.69552	0.36474	-0.619044	-0.671525	0.636418	-0.379508	0.255549	0.679659	0.687574	-38.798	-142.596	481.345
0.741852	0.338446	-0.578887	-0.617349	0.681748	-0.392557	0.261796	0.648594	0.714695	-41.9383	-143.179	486.734
0.785563	0.307181	-0.53715	-0.559468	0.723462	-0.404474	0.26436	0.618258	0.740183	-45.6291	-140.214	492.348
0.826123	0.271212	-0.493929	-0.498155	0.761206	-0.415219	0.263369	0.589075	0.763955	-49.3814	-139.846	499.355
0.883867	0.236439	-0.403578	-0.412707	0.800272	-0.435016	0.220117	0.551055	0.804914	-60.096	-137.375	513.238
0.940548	0.141361	-0.308847	-0.275476	0.849402	-0.450144	0.198702	0.508462	0.837845	-71.5703	-139.568	528.65
0.976904	0.035598	-0.210691	-0.131296	0.877925	-0.460444	0.16858	0.477473	0.862323	-79.5993	-141.471	542.302
