#r11	r12	r13	r21	r22	r23	r31	r32	r33	tx	ty	tz
0.307176	-0.740729	-0.597465	-0.539816	-0.652664	0.531627	-0.783736	0.159218	-0.60034	-157.166	-2.14442	700.443
0.197893	-0.762156	-0.616406	-0.510805	-0.616892	0.598767	-0.83661	0.196372	-0.511392	-170.402	2.67339	705.961
0.138783	-0.743464	-0.654218	-0.427237	-0.640922	0.637721	-0.893425	0.191002	-0.406584	-181.893	8.07355	717.976
0.0329709	-0.721714	-0.691406	-0.449356	-0.628624	0.634752	-0.892744	0.289759	-0.345033	-186.696	17.0238	724.522
-0.0637894	-0.682883	-0.727737	-0.412683	-0.645901	0.642265	-0.908638	0.341294	-0.240613	-191.482	21.4857	730.329
-0.104576	-0.637919	-0.76297	-0.399269	-0.675705	0.619683	-0.91085	0.369434	-0.184039	-194.234	28.5383	747.956
-0.14369	-0.608809	-0.780196	-0.3863	-0.691326	0.610607	-0.911112	0.389127	-0.135846	-195.903	35.3383	753.885
-0.178977	-0.576524	-0.797237	-0.311296	-0.735507	0.601768	-0.933307	0.35588	-0.0478304	-197.033	37.4949	771.788
-0.247048	-0.525652	-0.814038	-0.291079	-0.761023	0.579757	-0.924251	0.380177	0.0350026	-197.434	39.1609	783.771
-0.271144	-0.486506	-0.830538	-0.287576	-0.782506	0.552254	-0.918575	0.388583	0.0722645	-194.135	40.8013	801.77
-0.29049	-0.445819	-0.846676	-0.286623	-0.803663	0.521509	-0.912942	0.39417	0.105674	-188.669	42.4943	807.764
-0.304941	-0.404095	-0.862391	-0.287989	-0.824001	0.487939	-0.907785	0.397151	0.134897	-181.866	43.0626	820.69
-0.296475	-0.341218	-0.892005	-0.300266	-0.853331	0.426223	-0.906611	0.394203	0.150535	-177.756	42.7255	839.457
-0.278917	-0.279606	-0.918709	-0.313508	-0.877746	0.362319	-0.907699	0.389079	0.15716	-166.296	41.0454	845.342
-0.275074	-0.240235	-0.930925	-0.255119	-0.915327	0.311594	-0.926957	0.323208	0.190494	-159.693	38.2552	857.862
-0.27971	-0.183492	-0.942387	-0.260317	-0.930302	0.258404	-0.92412	0.317598	0.212449	-145.261	36.1862	875.079
-0.244721	-0.116244	-0.9626	-0.336694	-0.920819	0.196796	-0.909257	0.372262	0.186205	-137.165	31.2368	892.782
-0.221522	-0.0871908	-0.97125	-0.277756	-0.949096	0.148553	-0.934762	0.302678	0.186028	-119.771	24.7642	903.853
-0.194802	-0.0616686	-0.978902	-0.215968	-0.970831	0.104138	-0.956771	0.231698	0.175801	-101.39	17.7799	915.307
-0.164959	-0.0400709	-0.985486	-0.218742	-0.972805	0.0761701	-0.961738	0.228132	0.151708	-82.1146	14.1541	920.584
-0.0983118	-0.0100541	-0.995105	-0.221161	-0.974722	0.0316978	-0.970269	0.223195	0.0936031	-62.4482	4.53485	936.427
-0.0261771	-0.000885683	-0.999657	-0.22144	-0.975151	0.00666262	-0.974823	0.221539	0.0253305	-42.1252	-0.737078	941.763
0.0475162	-0.0048709	-0.998859	-0.218967	-0.975716	-0.00565831	-0.974575	0.218986	-0.0474289	-31.6458	-5.52869	946.829
